Date,value
2018-01-01,1380279517.44767
2018-01-02,1373452749.16104
2018-01-03,1389678294.62786
2018-01-04,1472112403.15338
2018-01-05,1467642069.599715
2018-01-06,1480612643.30961
2018-01-07,1470042396.48321
2018-01-08,1486176703.79184
2018-01-09,1474241133.41703
2018-01-10,1471466443.6251
2018-01-11,1477133270.39592
2018-01-12,1473800706.46593
2018-01-13,1471481124.52347
2018-01-14,1493076726.02574
2018-01-15,1479012425.38728
2018-01-16,1667199879.47805
2018-01-17,1651892740.29247
2018-01-18,1653834449.28007
2018-01-19,1627071227.06765
2018-01-20,1623851226.32988
2018-01-21,1622945095.469
2018-01-22,1606354810.260781
2018-01-23,1629643991.47622
2018-01-24,1625954744.39978
2018-01-25,1616581144.262141
2018-01-26,1605304669.316654
2018-01-27,1610901645.473411
2018-01-28,2252858690.033376
2018-01-29,2269639107.04296
2018-01-30,2266183243.262952
2018-01-31,2224566037.382556
2018-02-01,2201862496.650726
2018-02-02,2169643006.341678
2018-02-03,2193721155.581718
2018-02-04,2215748449.568808
2018-02-05,2208046102.380972
2018-02-06,2240775535.07724
2018-02-07,2207205806.012466
2018-02-08,2216289431.927424
2018-02-09,2256871977.38688
2018-02-10,2220887781.97566
2018-02-11,2229312917.06886
2018-02-12,2231929143.22938
2018-02-13,2220377839.58844
2018-02-14,2225255549.37924
2018-02-15,2211790853.215818
2018-02-16,2219624011.71168
2018-02-17,2222129380.8315
2018-02-18,2230953601.27122
2018-02-19,2224435207.27806
2018-02-20,2216613134.486268
2018-02-21,2218471098.4884
2018-02-22,2219978754.24192
2018-02-23,2224213493.19666
2018-02-24,2212254235.645944
2018-02-25,2230332801.8433
2018-02-26,2228315203.70256
2018-02-27,2219801382.9768
2018-02-28,2214462507.896688
2018-03-01,2221331210.13846
2018-03-02,2218537612.71282
2018-03-03,2214677570.555646
2018-03-04,2219867897.20122
2018-03-05,2209485026.769258
2018-03-06,2212265321.350014
2018-03-07,2218670641.16166
2018-03-08,2223747893.62572
2018-03-09,2224257836.01294
2018-03-10,2220887781.97566
2018-03-11,2222705837.44314
2018-03-12,2237738052.16206
2018-03-13,2215546689.754734
2018-03-14,2215409227.024266
2018-03-15,2207921942.495388
2018-03-16,2221353381.5466
2018-03-17,2217783784.83606
2018-03-18,2221065153.24078
2018-03-19,2209434032.530536
2018-03-20,2214400427.953896
2018-03-21,2227694404.27464
2018-03-22,2218825841.01864
2018-03-23,2226894995.118516
2018-03-24,2283547715.781206
2018-03-25,2288398741.4477
2018-03-26,2288604584.12096
2018-03-27,2293384708.42222
2018-03-28,2301938615.06658
2018-03-29,2230861337.05168
2018-03-30,2271014184.120486
2018-03-31,2288581712.71282
2018-04-01,2288718941.16166
2018-04-02,2294665507.27806
2018-04-03,2286132184.901026
2018-04-04,2288604584.12096
2018-04-05,2287529627.93838
2018-04-06,2287140814.0
2018-04-07,2290342811.1396
2018-04-08,2288192898.77444
2018-04-09,2286260264.78661
2018-04-10,2281546467.568956
2018-04-11,2284490017.796574
2018-04-12,2275915526.884888
2018-04-13,2286748258.46995
2018-04-14,2277334809.096362
2018-04-15,2284424248.0123234
2018-04-16,2287806414.4277477
2018-04-17,2288676890.914675
2018-04-18,2282926413.292516
2018-04-19,2286824348.679072
2018-04-20,2288314708.8573847
2018-04-21,2286642166.0685253
2018-04-22,2287115548.841868
2018-04-23,2293223001.07827
2018-04-24,2290287336.148911
2018-04-25,2291471961.87575
2018-04-26,2419283454.765766
2018-04-27,2418155033.319906
2018-04-28,2411376754.2521477
2018-04-29,2414871788.356529
2018-04-30,2417908906.80563
2018-05-01,2414259472.9486885
2018-05-02,2414697615.4085045
2018-05-03,2314904075.7836905
2018-05-04,2372622278.315319
2018-05-05,2261228727.8771443
2018-05-06,2249478541.3388233
2018-05-07,2180637157.6762486
2018-05-08,2154112977.8095737
2018-05-09,2104885290.4021575
2018-05-10,2108873301.498853
2018-05-11,2105879046.8329196
2018-05-12,2112850577.8745484
2018-05-13,2220564971.047659
2018-05-14,2209044380.0149026
2018-05-15,2209948700.880774
2018-05-16,2204161198.988544
2018-05-17,2313604285.6077013
2018-05-18,2310503939.435861
2018-05-19,2503520439.069979
2018-05-20,2510373975.8253307
2018-05-21,2509751494.8547044
2018-05-22,2503254463.359462
2018-05-23,2500586102.9243646
2018-05-24,2508799676.8027496
2018-05-25,2510652937.432645
2018-05-26,2514394133.4342055
2018-05-27,2506571114.360842
2018-05-28,2506310135.19925
2018-05-29,2517623503.770787
