Date,value
2018-01-01,632508886724.8875
2018-01-02,689387822549.797
2018-01-03,759377804675.912
2018-01-04,782129174705.4017
2018-01-05,812235526585.916
2018-01-06,848599963927.8542
2018-01-07,852884967530.0466
2018-01-08,786153504880.4888
2018-01-09,786955919410.2976
2018-01-10,773234169773.1318
2018-01-11,699055437254.35
2018-01-12,765555933155.46
2018-01-13,796404325239.219
2018-01-14,753167751358.5109
2018-01-15,718414741262.769
2018-01-16,718414741262.769
2018-01-17,548964181043.1773
2018-01-18,571814924473.2278
2018-01-19,578159921161.226
2018-01-20,645641382943.4264
2018-01-21,565573280856.9731
2018-01-22,531422444726.3729
2018-01-23,528145984688.78046
2018-01-24,551964353511.3309
2018-01-25,551011792568.6698
2018-01-26,539762301125.1548
2018-01-27,559461911160.45
2018-01-28,591118105160.447
2018-01-29,591118105160.447
2018-01-30,558961113085.526
2018-01-31,497234118866.6663
2018-02-01,509509728929.81366
2018-02-02,449747622775.9546
2018-02-03,424594289512.42224
2018-02-04,443951602349.1063
2018-02-05,398166865002.4254
2018-02-06,322475216615.3219
2018-02-07,370037149553.9821
2018-02-08,357702055307.574
2018-02-09,390285958627.4514
2018-02-10,420525387064.44775
2018-02-11,419856119234.1599
2018-02-12,399930046139.17346
2018-02-13,431393692897.3545
2018-02-14,412899093662.9667
2018-02-15,458469927388.0856
2018-02-16,476377854835.7567
2018-02-17,481336456450.1996
2018-02-18,510042714808.11383
2018-02-19,479705345866.07465
2018-02-20,497434990553.5726
2018-02-21,492645031507.0118
2018-02-22,432080335004.49304
2018-02-23,431888665293.3168
2018-02-24,450797026347.2945
2018-02-25,427163687887.52185
2018-02-26,430889598808.3318
2018-02-27,449295534633.36237
2018-02-28,457445844393.74567
2018-03-01,438518397015.3506
2018-03-02,455185055708.3396
2018-03-03,457584629831.45087
2018-03-04,459200426034.0935
2018-03-05,462113461666.2707
2018-03-06,463401048097.07794
2018-03-07,435770024609.52344
2018-03-08,440522102397.5349
2018-03-09,379314520851.7897
2018-03-10,379006508749.5854
2018-03-11,363525443056.54
2018-03-12,385543101048.5854
2018-03-13,374170128736.23474
2018-03-14,372165035374.659
2018-03-15,332610784116.39197
2018-03-16,333089848827.4542
2018-03-17,336752176539.593
2018-03-18,313953472184.7268
2018-03-19,314421815382.53326
2018-03-20,334862684365.81866
2018-03-21,346176519131.8738
2018-03-22,348307874499.3486
2018-03-23,340957862412.6163
2018-03-24,342777670624.031
2018-03-25,335443132826.32715
2018-03-26,334599139693.36346
2018-03-27,319070597841.48004
2018-03-28,302986357514.43976
2018-03-29,304858935304.54755
2018-03-30,269997090682.8624
2018-03-31,266753248047.40903
2018-04-01,268446524752.71793
2018-04-02,256032166000.0461
2018-04-03,265361156165.96564
2018-04-04,284614486646.519
2018-04-05,258690582384.26852
2018-04-06,261361621276.2689
2018-04-07,250882085397.6045
2018-04-08,260058057254.50406
2018-04-09,265013199027.63348
2018-04-10,260853352221.74167
2018-04-11,265404005685.57767
2018-04-12,277057714357.0255
2018-04-13,313434043279.6804
2018-04-14,314385228806.4781
2018-04-15,315484998203.4122
2018-04-16,334418516275.721
2018-04-17,327527816800.05676
2018-04-18,323025426493.91876
2018-04-19,341344368036.16254
2018-04-20,360935346139.0805
2018-04-21,380933400030.6217
2018-04-22,387376695535.2395
2018-04-23,388875863061.0926
2018-04-24,402069093831.2666
2018-04-25,438469122476.12006
2018-04-26,388810201835.69806
2018-04-27,416446891254.21826
2018-04-28,404453513446.8903
2018-04-29,425767902838.0356
2018-04-30,436058444479.18036
2018-05-01,421598916594.50397
2018-05-02,421301194690.7905
2018-05-03,431054274484.9904
2018-05-04,466581132818.2381
2018-05-05,457729376197.14886
2018-05-06,470570537721.0199
2018-05-07,459391605172.0354
2018-05-08,441292532795.6416
2018-05-09,446887568703.7044
2018-05-10,437998084426.2085
2018-05-11,418546128548.50464
2018-05-12,385202905220.3359
2018-05-13,392112360198.2247
2018-05-14,409151198038.02124
2018-05-15,408899839113.87494
2018-05-16,394166992046.99286
2018-05-17,389415782619.21674
2018-05-18,387234724578.4609
2018-05-19,382023876219.62604
2018-05-20,377665396709.61224
2018-05-21,392007136616.8647
2018-05-22,384358390051.45197
2018-05-23,362296614134.5598
2018-05-24,334419467354.7301
2018-05-25,346914383604.47296
2018-05-26,337444957082.30164
2018-05-27,333565458543.2607
2018-05-28,332291670201.32404
2018-05-29,308884117034.5143
2018-05-30,332544173081.7787
2018-05-31,328405626116.7502
2018-06-01,335486837243.6525
2018-06-02,337411133439.7527
2018-06-03,345559846509.0825
2018-06-04,354524212299.8126
2018-06-05,343441647898.70026
2018-06-06,351387185152.48035
2018-06-07,347463003936.09766
2018-06-08,347385144475.2709
2018-06-09,343286948903.89636
2018-06-10,336228643925.27216
2018-06-11,301064356492.2749
2018-06-12,305708055081.5603
2018-06-13,287245469772.36285
2018-06-14,275171765335.6157
2018-06-15,293349068447.62964
2018-06-16,279249504483.60187
2018-06-17,281681996513.42017
2018-06-18,279092640499.9845
2018-06-19,290602119705.79816
2018-06-20,295668843739.4032
2018-06-21,295653816087.49
2018-06-22,292706408350.399
2018-06-23,261997388365.36267
2018-06-24,264572206871.68137
2018-06-25,257673834532.69116
2018-06-26,262252448127.3427
2018-06-27,249856148270.15134
2018-06-28,255135365965.06534
2018-06-29,243433966200.2957
2018-06-30,243433966200.2957
2018-07-01,243433966200.2957
2018-07-02,260551959828.5713
2018-07-03,278505532161.0671
2018-07-04,273350854285.554
2018-07-05,280395063383.8016
2018-07-06,278116532060.8539
2018-07-07,276262042613.2273
2018-07-08,282226114971.3964
2018-07-09,280685868275.58496
2018-07-10,274253800888.4976
2018-07-11,257104177819.27362
2018-07-12,261600336553.42996
2018-07-13,253836834480.84286
2018-07-14,256600148800.1119
2018-07-15,258052426184.36526
2018-07-16,264772127516.64468
2018-07-17,280615983138.01227
2018-07-18,303592352534.39215
2018-07-19,294787208584.4078
2018-07-20,293750861817.4717
2018-07-21,279692290879.38275
2018-07-22,291327701433.65356
2018-07-23,289768720346.4366
2018-07-24,291958066004.8667
2018-07-25,313726259596.42365
2018-07-26,305835451614.73193
2018-07-27,297296670244.4267
2018-07-28,305083150732.3304
2018-07-29,307403924765.1553
2018-07-30,303870089260.5927
2018-07-31,300960053965.3985
2018-08-01,283639776609.3166
2018-08-02,280778044246.3987
2018-08-03,273128788648.38535
2018-08-04,272167549651.35538
2018-08-05,260683061190.0378
2018-08-06,263729880563.88245
2018-08-07,257874808654.53976
2018-08-08,241777973372.29413
2018-08-09,228010629644.0627
2018-08-10,236516019102.5751
2018-08-11,220073883925.99417
2018-08-12,217082049037.8815
2018-08-13,220067917498.59708
2018-08-14,209022752928.6533
2018-08-15,205006461530.90576
2018-08-16,206271494948.88754
2018-08-17,210325375911.75125
2018-08-18,229530465499.8734
2018-08-19,215235762182.2428
2018-08-20,221641113309.68573
2018-08-21,209226924662.3037
2018-08-22,215144070561.0457
2018-08-23,210850533042.44507
2018-08-24,215241101083.01138
2018-08-25,221152055437.10477
2018-08-26,221715896580.91068
2018-08-27,219864713298.02945
2018-08-28,229663952699.69263
2018-08-29,236755988593.07416
2018-08-30,233715579914.0722
2018-08-31,231486164386.40115
2018-09-01,233717932617.91736
2018-09-02,239927805963.28162
2018-09-03,241220622549.9379
2018-09-04,241285530971.5671
2018-09-05,244226987524.4881
2018-09-06,210869572536.715
2018-09-07,209770631849.71738
2018-09-08,204588177138.08755
2018-09-09,195251775520.88013
2018-09-10,197023690337.81305
2018-09-11,198142899973.95023
2018-09-12,194111194259.91782
2018-09-13,196638009434.349
2018-09-14,202990387943.81757
2018-09-15,203301763165.85922
2018-09-16,205647721909.4588
2018-09-17,206069864015.52618
2018-09-18,194594529290.67825
2018-09-19,200216100362.98044
2018-09-20,204050232231.41318
2018-09-21,213484068970.44348
2018-09-22,229881551270.33453
2018-09-23,227984910691.43738
2018-09-24,229559888811.62112
2018-09-25,216252036877.16653
2018-09-26,215667231206.15845
2018-09-27,218818074151.92764
2018-09-28,227440273521.8835
2018-09-29,222499645098.02225
2018-09-30,224943289866.8823
2018-10-01,228759720685.39212
2018-10-02,225614934652.04553
2018-10-03,221955345735.45413
2018-10-04,220043831520.7241
2018-10-05,223118859381.41873
2018-10-06,224301020096.9799
2018-10-07,221407105659.6496
2018-10-08,222598341857.74045
2018-10-09,225311862613.223
2018-10-10,223693690839.6739
2018-10-11,219297825120.51175
2018-10-12,200473850609.55142
2018-10-13,206489374274.8753
2018-10-14,206894522662.2115
2018-10-15,205121315437.65347
2018-10-16,216799319720.82013
2018-10-17,218078665055.55835
2018-10-18,218650263396.01852
2018-10-19,214017411950.99057
2018-10-20,213430148579.0172
2018-10-21,215717025106.72305
2018-10-22,215487499638.29666
2018-10-23,214688837697.97052
2018-10-24,213573211648.55975
2018-10-25,213931600077.91098
2018-10-26,213213888340.73068
2018-10-27,213492432393.31058
2018-10-28,214654110723.54608
2018-10-29,213972057411.60895
2018-10-30,206377829848.1908
2018-10-31,207580081767.67432
2018-11-01,209040032833.83786
2018-11-02,210753605866.2126
2018-11-03,213098684950.1306
2018-11-04,211273598722.39328
2018-11-05,210709265502.24158
2018-11-06,217608183848.56274
2018-11-07,226118544615.09882
2018-11-08,224998972676.00366
2018-11-09,219654503784.83432
2018-11-10,217268845140.14792
2018-11-11,217314914530.49643
2018-11-12,218030826908.22818
2018-11-13,216492177486.55115
2018-11-14,214548514447.96494
2018-11-15,194166263234.29495
2018-11-16,191272513634.47314
2018-11-17,186587379710.29718
2018-11-18,187809166075.10672
2018-11-19,188092186402.6704
2018-11-20,162457676378.14072
2018-11-21,148853700379.00912
2018-11-22,152614098388.4004
2018-11-23,144251703261.00137
2018-11-24,144631502901.8783
2018-11-25,126642566104.10123
2018-11-26,134565951999.03497
2018-11-27,125608170342.86539
2018-11-28,128752438515.11356
2018-11-29,139949686377.75412
2018-11-30,140423518575.67114
2018-12-01,131931199094.20068
2018-12-02,137444781887.72598
2018-12-03,134875665725.93257
2018-12-04,127363639674.63171
2018-12-05,128695755041.95265
2018-12-06,121850352670.16623
2018-12-07,111341489625.90266
2018-12-08,109910215413.85078
2018-12-09,110088719671.51251
2018-12-10,113789688928.51288
2018-12-11,109751898315.5159
2018-12-12,107690448787.60043
2018-12-13,109471970661.87706
2018-12-14,106111791850.7319
2018-12-15,103316295585.46724
